ID,symbols,logFC,P.Value
LOC_Os02g35910,LOC_Os02g35910,-0.674344,0.0338106
LOC_Os02g35940,LOC_Os02g35940,-0.994501,0.0292265
LOC_Os02g35950,LOC_Os02g35950,-0.637489,0.0171042
LOC_Os02g36710,LOC_Os02g36710,-0.647041,0.0171042
LOC_Os02g36924,LOC_Os02g36924,3.08405,0.00144447
LOC_Os02g36960,LOC_Os02g36960,0.855042,0.0148111
LOC_Os02g37070,LOC_Os02g37070,-1.63299,0.00781053
LOC_Os02g37109,LOC_Os02g37109,0.89748,0.0176481
LOC_Os02g37862,LOC_Os02g37862,-0.867852,0.00144447
LOC_Os02g37870,LOC_Os02g37870,-0.936668,0.00144447
LOC_Os02g38140,LOC_Os02g38140,-0.633573,0.0464359
LOC_Os02g38810,LOC_Os02g38810,-0.765874,0.0283631
LOC_Os02g38920,LOC_Os02g38920,-0.604352,0.0268193
LOC_Os02g39384,LOC_Os02g39384,-1.85841,0.0401884
LOC_Os02g39850,LOC_Os02g39850,1.86891,0.00144447
LOC_Os02g39870,LOC_Os02g39870,-0.94144,0.00144447
LOC_Os02g40010,LOC_Os02g40010,0.919092,0.00144447
LOC_Os02g40040,LOC_Os02g40040,-0.713935,0.0438757
LOC_Os02g40260,LOC_Os02g40260,2.39844,0.00144447
LOC_Os02g40280,LOC_Os02g40280,-1.81174,0.0388817
LOC_Os02g40510,LOC_Os02g40510,0.660815,0.0413115
LOC_Os02g40514,LOC_Os02g40514,-0.642377,0.01995
LOC_Os02g40880,LOC_Os02g40880,-0.751735,0.00144447
LOC_Os02g41460,LOC_Os02g41460,0.723475,0.0209878
LOC_Os02g41610,LOC_Os02g41610,2.97438,0.00144447
LOC_Os02g41680,LOC_Os02g41680,1.1891,0.00144447
LOC_Os02g41770,LOC_Os02g41770,-0.939297,0.01995
LOC_Os02g41860,LOC_Os02g41860,1.42088,0.00144447
LOC_Os02g41904,LOC_Os02g41904,-0.851859,0.00144447
LOC_Os02g42210,LOC_Os02g42210,-0.794738,0.00619541
LOC_Os02g42370,LOC_Os02g42370,-1.16847,0.00144447
LOC_Os02g42740,LOC_Os02g42740,1.13985,0.00144447
LOC_Os02g42850,LOC_Os02g42850,1.05253,0.0204178
LOC_Os02g42880,LOC_Os02g42880,-0.987255,0.0194283
LOC_Os02g43020,LOC_Os02g43020,-0.719395,0.00619541
LOC_Os02g43080,LOC_Os02g43080,-1.16888,0.00144447
LOC_Os02g43280,LOC_Os02g43280,0.691135,0.0148111
LOC_Os02g43594,LOC_Os02g43594,1.63347,0.00144447
LOC_Os02g43640,LOC_Os02g43640,0.619305,0.0354856
LOC_Os02g43670,LOC_Os02g43670,1.14244,0.00144447
LOC_Os02g43970,LOC_Os02g43970,-1.42735,0.00144447
LOC_Os02g44300,LOC_Os02g44300,1.26575,0.00355611
LOC_Os02g44900,LOC_Os02g44900,-0.743366,0.0384703
LOC_Os02g45040,LOC_Os02g45040,-1.12006,0.00144447
LOC_Os02g45570,LOC_Os02g45570,-1.3459,0.0025789
LOC_Os02g45660,LOC_Os02g45660,-0.843405,0.0342066
LOC_Os02g45820,LOC_Os02g45820,-0.761334,0.0460416
LOC_Os02g46130,LOC_Os02g46130,-0.601454,0.0287714
LOC_Os02g46150,LOC_Os02g46150,-0.621589,0.0376365
LOC_Os02g46473,LOC_Os02g46473,0.997265,0.0495307
LOC_Os02g46650,LOC_Os02g46650,-0.926439,0.00144447
LOC_Os02g46940,LOC_Os02g46940,1.11426,0.00781053
LOC_Os02g46990,LOC_Os02g46990,-0.691097,0.0153591
LOC_Os02g47020,LOC_Os02g47020,-0.827133,0.00619541
LOC_Os02g47120,LOC_Os02g47120,0.623762,0.0416717
LOC_Os02g47140,LOC_Os02g47140,-0.964561,0.00144447
LOC_Os02g47470,LOC_Os02g47470,-0.985629,0.00144447
LOC_Os02g47510,LOC_Os02g47510,2.17536,0.040559
LOC_Os02g47940,LOC_Os02g47940,-0.628127,0.0409044
LOC_Os02g48360,LOC_Os02g48360,-0.810774,0.00144447
LOC_Os02g48600,LOC_Os02g48600,-0.745008,0.0354856
LOC_Os02g48660,LOC_Os02g48660,-1.09474,0.00144447
LOC_Os02g49080,LOC_Os02g49080,0.634026,0.0334095
LOC_Os02g49230,LOC_Os02g49230,1.46269,0.0135233
LOC_Os02g49270,LOC_Os02g49270,-0.672299,0.0135233
LOC_Os02g49360,LOC_Os02g49360,-0.752004,0.00355611
LOC_Os02g49440,LOC_Os02g49440,1.59565,0.00144447
LOC_Os02g49620,LOC_Os02g49620,-0.683691,0.0224819
LOC_Os02g49780,LOC_Os02g49780,-0.664135,0.0435347
LOC_Os02g49950,LOC_Os02g49950,-0.623535,0.0258554
LOC_Os02g50900,LOC_Os02g50900,-1.14066,0.00781053
LOC_Os02g51280,LOC_Os02g51280,-0.669159,0.0148111
LOC_Os02g51370,LOC_Os02g51370,0.858949,0.0176481
LOC_Os02g51390,LOC_Os02g51390,1.05594,0.00144447
LOC_Os02g51620,LOC_Os02g51620,1.1574,0.00144447
LOC_Os02g51710,LOC_Os02g51710,-0.67073,0.0230771
LOC_Os02g51750,LOC_Os02g51750,0.874078,0.00144447
LOC_Os02g51760,LOC_Os02g51760,2.63363,0.00781053
LOC_Os02g51890,LOC_Os02g51890,-0.936594,0.0230771
LOC_Os02g52150,LOC_Os02g52150,-2.55073,0.00144447
LOC_Os02g52390,LOC_Os02g52390,-0.698057,0.00144447
LOC_Os02g52480,LOC_Os02g52480,0.928904,0.0296755
LOC_Os02g52880,LOC_Os02g52880,-0.633318,0.0401884
LOC_Os02g53169,LOC_Os02g53169,1.61754,0.0204178
LOC_Os02g53180,LOC_Os02g53180,2.98779,0.00144447
LOC_Os02g53420,LOC_Os02g53420,-0.668094,0.0160083
LOC_Os02g54060,LOC_Os02g54060,-1.03873,0.00144447
LOC_Os02g54110,LOC_Os02g54110,-0.826967,0.00144447
LOC_Os02g54190,LOC_Os02g54190,2.16572,0.00144447
LOC_Os02g54540,LOC_Os02g54540,2.23983,0.0416717
LOC_Os02g54710,LOC_Os02g54710,-1.07942,0.0025789
LOC_Os02g54870,LOC_Os02g54870,1.78096,0.00144447
LOC_Os02g55260,LOC_Os02g55260,-1.13726,0.00144447
LOC_Os02g55370,LOC_Os02g55370,-0.677404,0.0171042
LOC_Os02g55410,LOC_Os02g55410,-0.670517,0.0128631
LOC_Os02g55420,LOC_Os02g55420,-0.824849,0.00144447
LOC_Os02g55480,LOC_Os02g55480,2.00994,0.00144447
LOC_Os02g55560,LOC_Os02g55560,0.832212,0.0432353
LOC_Os02g55940,LOC_Os02g55940,-0.656675,0.0296755
LOC_Os02g56020,LOC_Os02g56020,-0.937681,0.030574
LOC_Os02g56130,LOC_Os02g56130,-0.931296,0.00144447
LOC_Os02g56280,LOC_Os02g56280,0.968123,0.00144447
LOC_Os02g56334,LOC_Os02g56334,-1.56528,0.0384703
LOC_Os02g56490,LOC_Os02g56490,1.52352,0.00144447
LOC_Os02g56900,LOC_Os02g56900,-0.88246,0.0025789
LOC_Os02g56920,LOC_Os02g56920,-0.872154,0.00144447
LOC_Os02g56960,LOC_Os02g56960,-1.12588,0.00144447
LOC_Os02g56990,LOC_Os02g56990,-0.732339,0.010105
LOC_Os02g57110,LOC_Os02g57110,2.6773,0.00144447
LOC_Os02g57160,LOC_Os02g57160,-0.824064,0.0122338
LOC_Os02g57540,LOC_Os02g57540,-0.801838,0.00144447
LOC_Os02g57590,LOC_Os02g57590,-0.974859,0.00144447
LOC_Os02g57670,LOC_Os02g57670,-0.850246,0.00535638
LOC_Os02g58150,LOC_Os02g58150,-0.848169,0.0388817
LOC_Os02g58210,LOC_Os02g58210,0.801482,0.00860411
LOC_Os02g58214,LOC_Os02g58214,1.77427,0.00355611
LOC_Os02g58300,LOC_Os02g58300,-0.635708,0.0318893
LOC_Os02g58350,LOC_Os02g58350,2.3838,0.00144447
LOC_Os02g58360,LOC_Os02g58360,2.67731,0.00144447
LOC_Os02g58460,LOC_Os02g58460,-0.664532,0.0219986
LOC_Os02g58650,LOC_Os02g58650,-0.659875,0.0371932
LOC_Os03g01008,LOC_Os03g01008,-1.14189,0.00144447
LOC_Os03g01020,LOC_Os03g01020,-1.02688,0.0025789
LOC_Os03g01110,LOC_Os03g01110,-0.608099,0.0342066
LOC_Os03g01270,LOC_Os03g01270,-0.897594,0.0491304
LOC_Os03g01320,LOC_Os03g01320,2.63277,0.00144447
LOC_Os03g01880,LOC_Os03g01880,1.36988,0.00144447
LOC_Os03g01900,LOC_Os03g01900,-0.925892,0.00447556
LOC_Os03g01910,LOC_Os03g01910,-0.717421,0.00447556
LOC_Os03g02040,LOC_Os03g02040,3.47164,0.00144447
LOC_Os03g02160,LOC_Os03g02160,0.606138,0.0310612
LOC_Os03g02240,LOC_Os03g02240,0.833958,0.00447556
LOC_Os03g02260,LOC_Os03g02260,-0.625668,0.0215346
LOC_Os03g02280,LOC_Os03g02280,1.46219,0.0342066
LOC_Os03g02460,LOC_Os03g02460,2.45358,0.00936537
LOC_Os03g02470,LOC_Os03g02470,8.01473,0.00144447
LOC_Os03g02780,LOC_Os03g02780,-0.632354,0.0292265
LOC_Os03g02980,LOC_Os03g02980,0.88034,0.0345976
LOC_Os03g03020,LOC_Os03g03020,-0.841793,0.00447556
LOC_Os03g03140,LOC_Os03g03140,-0.732773,0.0435347
LOC_Os03g03470,LOC_Os03g03470,-1.03104,0.00701559
LOC_Os03g03724,LOC_Os03g03724,1.52561,0.0258554
LOC_Os03g03810,LOC_Os03g03810,3.09784,0.0350036
LOC_Os03g03980,LOC_Os03g03980,-1.52243,0.0432353
LOC_Os03g03990,LOC_Os03g03990,-0.929514,0.0246692
LOC_Os03g04100,LOC_Os03g04100,-0.8474,0.0025789
LOC_Os03g04169,LOC_Os03g04169,-0.562461,0.0478225
LOC_Os03g04430,LOC_Os03g04430,0.872144,0.00144447
LOC_Os03g04590,LOC_Os03g04590,-0.940073,0.00144447
LOC_Os03g04710,LOC_Os03g04710,0.906037,0.00781053
LOC_Os03g04750,LOC_Os03g04750,-0.690419,0.0160083
LOC_Os03g04770,LOC_Os03g04770,-2.04336,0.00144447
LOC_Os03g04970,LOC_Os03g04970,-1.0551,0.00144447
LOC_Os03g05390,LOC_Os03g05390,0.585297,0.0364192
LOC_Os03g05530,LOC_Os03g05530,1.37103,0.00144447
LOC_Os03g05720,LOC_Os03g05720,-0.570047,0.0482521
LOC_Os03g05980,LOC_Os03g05980,-0.549834,0.0460416
LOC_Os03g06240,LOC_Os03g06240,0.753711,0.00619541
LOC_Os03g06400,LOC_Os03g06400,1.6599,0.00144447
LOC_Os03g06610,LOC_Os03g06610,2.34005,0.00144447
LOC_Os03g06680,LOC_Os03g06680,0.659222,0.0268193
LOC_Os03g06700,LOC_Os03g06700,1.77638,0.0323996
LOC_Os03g06705,LOC_Os03g06705,2.81601,0.00144447
LOC_Os03g06890,LOC_Os03g06890,-0.793536,0.030574
LOC_Os03g06980,LOC_Os03g06980,-1.03436,0.00144447
LOC_Os03g07120,LOC_Os03g07120,2.69871,0.00144447
LOC_Os03g07480,LOC_Os03g07480,3.41732,0.00144447
LOC_Os03g07510,LOC_Os03g07510,-2.10939,0.00355611
LOC_Os03g08050,LOC_Os03g08050,-0.604525,0.0236047
LOC_Os03g08450,LOC_Os03g08450,-0.675586,0.0148111
LOC_Os03g08580,LOC_Os03g08580,1.25612,0.00447556
LOC_Os03g08960,LOC_Os03g08960,1.66721,0.00144447
LOC_Os03g09070,LOC_Os03g09070,3.25472,0.00144447
LOC_Os03g09250,LOC_Os03g09250,-1.79061,0.00144447
LOC_Os03g10090,LOC_Os03g10090,1.03747,0.00144447
LOC_Os03g10190,LOC_Os03g10190,-0.620605,0.0368084
LOC_Os03g10320,LOC_Os03g10320,3.10883,0.0345976
LOC_Os03g10340,LOC_Os03g10340,-0.668931,0.0381186
LOC_Os03g10410,LOC_Os03g10410,-1.15711,0.0025789
LOC_Os03g10600,LOC_Os03g10600,-0.631179,0.0273338
LOC_Os03g10620,LOC_Os03g10620,0.9356,0.00355611
LOC_Os03g11510,LOC_Os03g11510,-1.1815,0.00144447
LOC_Os03g11540,LOC_Os03g11540,-0.748053,0.0025789
LOC_Os03g11600,LOC_Os03g11600,-1.84795,0.00144447
LOC_Os03g12470,LOC_Os03g12470,1.51206,0.0122338
LOC_Os03g12530,LOC_Os03g12530,0.642241,0.0258554
LOC_Os03g12990,LOC_Os03g12990,1.64831,0.0165457
LOC_Os03g13520,LOC_Os03g13520,2.82533,0.0342066
LOC_Os03g13800,LOC_Os03g13800,-0.877877,0.00144447
LOC_Os03g13950,LOC_Os03g13950,0.929409,0.00144447
LOC_Os03g14000,LOC_Os03g14000,0.656866,0.0478225
LOC_Os03g14040,LOC_Os03g14040,-0.830255,0.0128631
LOC_Os03g14130,LOC_Os03g14130,1.4062,0.00144447
LOC_Os03g14530,LOC_Os03g14530,-0.890042,0.00144447
LOC_Os03g14570,LOC_Os03g14570,1.83888,0.00860411
LOC_Os03g15020,LOC_Os03g15020,-0.961343,0.00144447
LOC_Os03g15120,LOC_Os03g15120,-0.656471,0.0204178
LOC_Os03g15410,LOC_Os03g15410,-0.601777,0.0301367
LOC_Os03g15530,LOC_Os03g15530,-1.68078,0.00144447
LOC_Os03g15540,LOC_Os03g15540,-0.626922,0.0421388
LOC_Os03g16050,LOC_Os03g16050,-1.0936,0.00781053
LOC_Os03g16080,LOC_Os03g16080,-0.754456,0.00781053
LOC_Os03g16110,LOC_Os03g16110,0.614496,0.0219986
LOC_Os03g16780,LOC_Os03g16780,0.852394,0.00144447
LOC_Os03g16860,LOC_Os03g16860,-1.06881,0.00144447
LOC_Os03g17100,LOC_Os03g17100,-0.975892,0.00144447
LOC_Os03g17210,LOC_Os03g17210,0.728067,0.00447556
LOC_Os03g17500,LOC_Os03g17500,-0.86864,0.00701559
LOC_Os03g17850,LOC_Os03g17850,1.41756,0.0468042
LOC_Os03g18070,LOC_Os03g18070,-0.881762,0.00144447
LOC_Os03g18130,LOC_Os03g18130,2.55863,0.00144447
LOC_Os03g18264,LOC_Os03g18264,0.714078,0.00936537
LOC_Os03g18300,LOC_Os03g18300,2.51292,0.00144447
LOC_Os03g18410,LOC_Os03g18410,-0.845045,0.00355611
LOC_Os03g18430,LOC_Os03g18430,0.681949,0.0153591
LOC_Os03g18500,LOC_Os03g18500,-0.730254,0.0401884
LOC_Os03g18510,LOC_Os03g18510,-0.726338,0.00535638
LOC_Os03g18630,LOC_Os03g18630,-0.819434,0.00701559
LOC_Os03g18770,LOC_Os03g18770,-1.2873,0.00144447
LOC_Os03g18779,LOC_Os03g18779,8.21548,0.0442813
LOC_Os03g18810,LOC_Os03g18810,-0.67378,0.0182433
LOC_Os03g18840,LOC_Os03g18840,-0.782773,0.00447556
LOC_Os03g19000,LOC_Os03g19000,1.97304,0.0438757
LOC_Os03g19070,LOC_Os03g19070,-1.88647,0.00144447
LOC_Os03g19220,LOC_Os03g19220,1.49476,0.0246692
LOC_Os03g19570,LOC_Os03g19570,-0.756855,0.010105
LOC_Os03g19670,LOC_Os03g19670,-1.24229,0.00447556
LOC_Os03g19680,LOC_Os03g19680,0.855173,0.0395646
LOC_Os03g19870,LOC_Os03g19870,-0.656045,0.0263157
LOC_Os03g19930,LOC_Os03g19930,-0.621702,0.0338106
LOC_Os03g20740,LOC_Os03g20740,-2.83758,0.0438757
LOC_Os03g21530,LOC_Os03g21530,-0.68646,0.0301367
LOC_Os03g21550,LOC_Os03g21550,-0.723275,0.00447556
LOC_Os03g21560,LOC_Os03g21560,-0.893475,0.0142094
LOC_Os03g21940,LOC_Os03g21940,-0.784146,0.00144447
LOC_Os03g21970,LOC_Os03g21970,-1.13039,0.00144447
LOC_Os03g22180,LOC_Os03g22180,-0.830582,0.00144447
LOC_Os03g22320,LOC_Os03g22320,-0.892219,0.00144447
LOC_Os03g22340,LOC_Os03g22340,-0.755188,0.00447556
LOC_Os03g22350,LOC_Os03g22350,-0.734507,0.00781053
LOC_Os03g22490,LOC_Os03g22490,0.84515,0.0122338
LOC_Os03g22510,LOC_Os03g22510,3.79313,0.0292265
LOC_Os03g22730,LOC_Os03g22730,-0.943527,0.00144447
LOC_Os03g22740,LOC_Os03g22740,-0.627698,0.0224819
LOC_Os03g22880,LOC_Os03g22880,-0.879761,0.00144447
LOC_Os03g23970,LOC_Os03g23970,-0.718583,0.0491305
LOC_Os03g24020,LOC_Os03g24020,-0.839006,0.00355611
LOC_Os03g25050,LOC_Os03g25050,-0.929768,0.00144447
LOC_Os03g25450,LOC_Os03g25450,-1.10158,0.00144447
LOC_Os03g25620,LOC_Os03g25620,-0.634153,0.0323996
LOC_Os03g25750,LOC_Os03g25750,-1.03839,0.00936537
LOC_Os03g25960,LOC_Os03g25960,-1.03564,0.00144447
LOC_Os03g26460,LOC_Os03g26460,-0.882626,0.00144447
LOC_Os03g27230,LOC_Os03g27230,1.04819,0.00144447
LOC_Os03g27260,LOC_Os03g27260,-0.638515,0.0204178
LOC_Os03g27590,LOC_Os03g27590,0.917129,0.040559
LOC_Os03g27990,LOC_Os03g27990,1.00088,0.01995
LOC_Os03g29460,LOC_Os03g29460,-0.622162,0.0310612
LOC_Os03g29630,LOC_Os03g29630,-0.932506,0.0241404
LOC_Os03g29740,LOC_Os03g29740,-0.952921,0.00144447
LOC_Os03g29970,LOC_Os03g29970,-1.06393,0.0204178
LOC_Os03g30550,LOC_Os03g30550,-0.585859,0.0342066
LOC_Os03g31090,LOC_Os03g31090,-0.678138,0.0165457
LOC_Os03g31134,LOC_Os03g31134,-0.955524,0.00144447
LOC_Os03g31679,LOC_Os03g31679,0.667476,0.0334095
LOC_Os03g36130,LOC_Os03g36130,1.50692,0.00355611
LOC_Os03g36540,LOC_Os03g36540,-0.810656,0.00447556
LOC_Os03g36780,LOC_Os03g36780,-0.578317,0.0364192
LOC_Os03g37270,LOC_Os03g37270,-0.773853,0.00144447
LOC_Os03g37640,LOC_Os03g37640,-0.818026,0.030574
LOC_Os03g38000,LOC_Os03g38000,-0.900087,0.00144447
LOC_Os03g38170,LOC_Os03g38170,-2.2798,0.00144447
LOC_Os03g38250,LOC_Os03g38250,2.36701,0.00144447
LOC_Os03g38260,LOC_Os03g38260,-0.68401,0.00619541
LOC_Os03g38980,LOC_Os03g38980,-0.675609,0.00860411
LOC_Os03g38990,LOC_Os03g38990,-0.650147,0.0292265
LOC_Os03g39740,LOC_Os03g39740,-0.676332,0.0135233
LOC_Os03g40180,LOC_Os03g40180,-0.680827,0.0115122
LOC_Os03g40540,LOC_Os03g40540,0.687211,0.0364192
LOC_Os03g41200,LOC_Os03g41200,-3.26149,0.00144447
LOC_Os03g42070,LOC_Os03g42070,1.04126,0.0350036
LOC_Os03g42220,LOC_Os03g42220,-0.81178,0.00144447
LOC_Os03g42770,LOC_Os03g42770,-0.989998,0.00144447
LOC_Os03g44230,LOC_Os03g44230,1.95859,0.00144447
LOC_Os03g44290,LOC_Os03g44290,0.643169,0.040559
LOC_Os03g44430,LOC_Os03g44430,-0.685471,0.0409044
LOC_Os03g44520,LOC_Os03g44520,-0.871586,0.0399862
LOC_Os03g44530,LOC_Os03g44530,-0.926805,0.00144447
LOC_Os03g46040,LOC_Os03g46040,2.6016,0.00144447
LOC_Os03g46090,LOC_Os03g46090,-0.584113,0.0478225
LOC_Os03g46260,LOC_Os03g46260,0.683028,0.0464359
LOC_Os03g46600,LOC_Os03g46600,-0.698624,0.0246692
LOC_Os03g46610,LOC_Os03g46610,-0.740138,0.010105
LOC_Os03g46660,LOC_Os03g46660,0.810085,0.00355611
LOC_Os03g46860,LOC_Os03g46860,1.12205,0.00535638
LOC_Os03g47022,LOC_Os03g47022,-1.35331,0.0165457
LOC_Os03g48090,LOC_Os03g48090,-0.742053,0.0296755
LOC_Os03g48260,LOC_Os03g48260,-0.670351,0.0153591
LOC_Os03g48830,LOC_Os03g48830,-0.775528,0.0219986
LOC_Os03g49050,LOC_Os03g49050,-1.2684,0.00355611
LOC_Os03g49220,LOC_Os03g49220,-0.70857,0.0401884
LOC_Os03g49400,LOC_Os03g49400,0.740755,0.00355611
LOC_Os03g49620,LOC_Os03g49620,0.651851,0.0268193
LOC_Os03g49830,LOC_Os03g49830,1.09709,0.00355611
LOC_Os03g50120,LOC_Os03g50120,-0.792323,0.00619541
LOC_Os03g50860,LOC_Os03g50860,-0.692082,0.0204178
LOC_Os03g51030,LOC_Os03g51030,0.87282,0.00144447
LOC_Os03g51080,LOC_Os03g51080,-0.789376,0.0314313
LOC_Os03g51510,LOC_Os03g51510,-0.619197,0.0468042
LOC_Os03g51580,LOC_Os03g51580,0.909236,0.00144447
LOC_Os03g51650,LOC_Os03g51650,0.786284,0.0204178
LOC_Os03g51690,LOC_Os03g51690,8.32682,0.00144447
LOC_Os03g51900,LOC_Os03g51900,-0.922718,0.00144447
LOC_Os03g51910,LOC_Os03g51910,1.12208,0.00144447
LOC_Os03g51970,LOC_Os03g51970,0.885139,0.00144447
LOC_Os03g52320,LOC_Os03g52320,2.23522,0.00144447
LOC_Os03g52470,LOC_Os03g52470,-0.605878,0.0273338
LOC_Os03g52490,LOC_Os03g52490,-0.568776,0.0478225
LOC_Os03g52680,LOC_Os03g52680,-1.03281,0.0268193
LOC_Os03g53150,LOC_Os03g53150,1.64754,0.00144447
LOC_Os03g53530,LOC_Os03g53530,-0.753331,0.00535638
LOC_Os03g53670,LOC_Os03g53670,-0.688232,0.0108632
LOC_Os03g54050,LOC_Os03g54050,1.91537,0.00144447
LOC_Os03g55180,LOC_Os03g55180,2.04653,0.00144447
LOC_Os03g55240,LOC_Os03g55240,-1.0047,0.0371932
LOC_Os03g55280,LOC_Os03g55280,-1.05125,0.00144447
LOC_Os03g55590,LOC_Os03g55590,0.838184,0.010105
LOC_Os03g55890,LOC_Os03g55890,1.07232,0.00144447
LOC_Os03g55930,LOC_Os03g55930,-0.836553,0.00619541
LOC_Os03g56200,LOC_Os03g56200,3.15104,0.00144447
LOC_Os03g56241,LOC_Os03g56241,-0.604738,0.0381186
LOC_Os03g56830,LOC_Os03g56830,-0.811776,0.00619541
LOC_Os03g57240,LOC_Os03g57240,0.917913,0.00144447
LOC_Os03g57280,LOC_Os03g57280,-0.959042,0.00144447
LOC_Os03g57340,LOC_Os03g57340,-0.555149,0.0499535
LOC_Os03g57690,LOC_Os03g57690,1.00941,0.0209878
LOC_Os03g57790,LOC_Os03g57790,0.771876,0.0224819
LOC_Os03g57900,LOC_Os03g57900,1.3346,0.0345976
LOC_Os03g58230,LOC_Os03g58230,1.39636,0.00144447
LOC_Os03g58430,LOC_Os03g58430,-0.829847,0.00144447
LOC_Os03g58540,LOC_Os03g58540,-0.806116,0.0122338
LOC_Os03g58570,LOC_Os03g58570,1.71193,0.00355611
LOC_Os03g58600,LOC_Os03g58600,1.10542,0.010105
LOC_Os03g58720,LOC_Os03g58720,-0.910419,0.00144447
LOC_Os03g58810,LOC_Os03g58810,-0.747463,0.00619541
LOC_Os03g59020,LOC_Os03g59020,-0.690891,0.0108632
LOC_Os03g59480,LOC_Os03g59480,-0.588572,0.0392466
LOC_Os03g60100,LOC_Os03g60100,-0.984,0.00144447
LOC_Os03g60110,LOC_Os03g60110,-1.40707,0.00144447
LOC_Os03g60180,LOC_Os03g60180,-0.683055,0.0376365
LOC_Os03g60620,LOC_Os03g60620,-0.786289,0.00144447
LOC_Os03g61019,LOC_Os03g61019,-0.7001,0.0246692
LOC_Os03g61560,LOC_Os03g61560,-0.750796,0.00355611
LOC_Os03g61600,LOC_Os03g61600,-0.619967,0.0215346
LOC_Os03g61740,LOC_Os03g61740,1.41278,0.0115122
LOC_Os03g61960,LOC_Os03g61960,-0.68103,0.0171042
LOC_Os03g62160,LOC_Os03g62160,-1.06933,0.0413115
LOC_Os03g62270,LOC_Os03g62270,2.07168,0.00355611
LOC_Os03g62500,LOC_Os03g62500,1.366,0.00144447
LOC_Os03g62630,LOC_Os03g62630,-0.761243,0.0384703
LOC_Os03g62740,LOC_Os03g62740,1.19159,0.00781053
LOC_Os03g62950,LOC_Os03g62950,-1.14625,0.0135233
LOC_Os03g63370,LOC_Os03g63370,-0.746818,0.0435347
LOC_Os03g63400,LOC_Os03g63400,-0.755878,0.00144447
LOC_Os03g63410,LOC_Os03g63410,-0.631424,0.0209878
LOC_Os03g63480,LOC_Os03g63480,-0.811545,0.0025789
LOC_Os03g63550,LOC_Os03g63550,-0.694487,0.0409044
LOC_Os03g63720,LOC_Os03g63720,-0.846736,0.00144447
LOC_Os03g63760,LOC_Os03g63760,1.35773,0.0388817
LOC_Os03g63770,LOC_Os03g63770,0.80489,0.00144447
LOC_Os03g63810,LOC_Os03g63810,1.56594,0.00144447
LOC_Os03g64070,LOC_Os03g64070,1.58731,0.00144447
LOC_Os03g64170,LOC_Os03g64170,2.27808,0.00144447
LOC_Os04g01140,LOC_Os04g01140,1.34916,0.00619541
LOC_Os04g01290,LOC_Os04g01290,-0.573755,0.0354856
LOC_Os04g01480,LOC_Os04g01480,-0.758463,0.00447556
LOC_Os04g01490,LOC_Os04g01490,2.1876,0.00355611
LOC_Os04g02060,LOC_Os04g02060,-1.02713,0.0115122
LOC_Os04g03050,LOC_Os04g03050,3.38451,0.00144447
LOC_Os04g03980,LOC_Os04g03980,-1.47653,0.00144447
